playerId,gameWeek,firstName,secondName,position,teamId,minutes,eventPoints,totalPoints,goalsScored,assists,cleanSheets,goalsConceded,penaltiesSaved,penaltiesMissed,ownGoals,yellowCards,redCards,saves,bonus,bonusPointsSystem,dreamTeamCount,nowCost,costChangeEvent,costChangeStart,selectedByPercent,valueForm,valueSeason,transfersIn,transfersInEvent,transfersOut,transfersOutEvent,influence,creativity,threat,ictIndex,expectedGoals,expectedAssists,expectedGoalInvolvements,expectedGoalsConceded,expectedGoalsPer90,expectedAssistsPer90,expectedGoalInvolvementsPer90,expectedGoalsConcededPer90,goalsConcededPer90,startsPer90,cleanSheetsPer90
2,7,Gabriel,Fernando de Jesus,4,1,59,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,1,31.5,16.0,4.9,0.38,0.06,0.44,0.32,0,0,0,0,0,0,0
2,8,Gabriel,Fernando de Jesus,4,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,1,0.4,6.0,0.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2,9,Gabriel,Fernando de Jesus,4,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,2,0.3,21.0,2.3,0.18,0.0,0.18,0.0,0,0,0,0,0,0,0
2,10,Gabriel,Fernando de Jesus,4,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,0,2.2,4.0,0.6,0.0,0.01,0.01,0.04,0,0,0,0,0,0,0
2,11,Gabriel,Fernando de Jesus,4,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,0,1.0,0.0,0.2,0.0,0.0,0.0,0.04,0,0,0,0,0,0,0
2,12,Gabriel,Fernando de Jesus,4,1,90,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,6,26.7,12.0,4.5,0.15,0.05,0.2,0.33,0,0,0,0,0,0,0
2,13,Gabriel,Fernando de Jesus,4,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,68,0,-2,0.9,0.1,1.2,0,0,0,0,0,0.7,6.0,0.7,0.05,0.0,0.05,0.74,0,0,0,0,0,0,0
3,1,Gabriel,dos Santos Magalhães,2,1,90,0,6,0,0,1,0,0,0,0,0,0,0,0,22,0,62,0,2,25.3,0.9,9.7,0,0,0,0,13,1.4,8.0,2.3,0.12,0.02,0.14,0.47,0,0,0,0,0,0,0
3,2,Gabriel,dos Santos Magalhães,2,1,90,0,6,0,0,1,0,0,0,0,1,0,0,1,25,0,62,0,2,25.3,0.9,9.7,0,0,0,0,21,1.9,0.0,2.3,0.0,0.02,0.02,1.28,0,0,0,0,0,0,0
3,3,Gabriel,dos Santos Magalhães,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,17,0,62,0,2,25.3,0.9,9.7,0,0,0,0,20,20.8,9.0,5.1,0.12,0.01,0.13,1.83,0,0,0,0,0,0,0
3,4,Gabriel,dos Santos Magalhães,2,1,90,0,15,1,0,1,0,0,0,0,0,0,0,3,40,0,62,0,2,25.3,0.9,9.7,0,0,0,0,58,0.7,35.0,9.4,0.27,0.0,0.27,0.74,0,0,0,0,0,0,0
3,5,Gabriel,dos Santos Magalhães,2,1,90,0,7,1,0,0,2,0,0,0,0,0,0,0,15,0,62,0,2,25.3,0.9,9.7,0,0,0,0,56,0.8,40.0,9.7,0.49,0.01,0.5,2.16,0,0,0,0,0,0,0
3,6,Gabriel,dos Santos Magalhães,2,1,90,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,62,0,2,25.3,0.9,9.7,0,0,0,0,19,7.3,57.0,8.4,0.27,0.05,0.32,0.32,0,0,0,0,0,0,0
3,7,Gabriel,dos Santos Magalhães,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,5,0,62,0,2,25.3,0.9,9.7,0,0,0,0,4,3.7,16.0,2.4,0.2,0.04,0.24,0.65,0,0,0,0,0,0,0
3,8,Gabriel,dos Santos Magalhães,2,1,90,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,62,0,2,25.3,0.9,9.7,0,0,0,0,21,1.1,5.0,2.8,0.02,0.0,0.02,1.82,0,0,0,0,0,0,0
3,9,Gabriel,dos Santos Magalhães,2,1,53,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,62,0,2,25.3,0.9,9.7,0,0,0,0,4,0.7,0.0,0.5,0.0,0.0,0.0,0.39,0,0,0,0,0,0,0
3,10,Gabriel,dos Santos Magalhães,2,1,90,0,2,0,0,0,1,0,0,0,0,0,0,0,9,0,62,0,2,25.3,0.9,9.7,0,0,0,0,17,14.3,2.0,3.4,0.0,0.1,0.1,0.53,0,0,0,0,0,0,0
